chebi_id	wikidata_id
CHEBI:2851	Q27105848
CHEBI:2852	Q27105849
CHEBI:2853	Q27105850
CHEBI:2856	Q27105851
CHEBI:2866	Q419442
CHEBI:2867	Q27105852
CHEBI:2869	Q27105853
CHEBI:2870	Q27105854
CHEBI:2871	Q27105855
CHEBI:2872	Q27105856
CHEBI:2873	Q15478109
CHEBI:2874	Q730429
CHEBI:2877	Q182040
CHEBI:2878	Q27105857
CHEBI:2879	Q4807880
CHEBI:2880	Q4807912
CHEBI:2881	Q27105860
CHEBI:2882	Q27105861
CHEBI:2883	Q27105862
CHEBI:2884	Q27105863
CHEBI:2885	Q27105864
CHEBI:2886	Q27105865
CHEBI:2887	Q27105866
CHEBI:2888	Q27105867
CHEBI:2894	Q61971747
CHEBI:2896	Q423437
CHEBI:2897	Q27105868
CHEBI:2898	Q27105869
CHEBI:2899	Q4811458
CHEBI:2900	Q27105870
CHEBI:2901	Q5710012
CHEBI:2902	Q27105873
CHEBI:2903	Q27105874
CHEBI:2904	Q411325
CHEBI:2905	Q27105875
CHEBI:2906	Q27105876
CHEBI:2908	Q27105877
CHEBI:2909	Q27105878
CHEBI:2911	Q27105879
CHEBI:2913	Q27105880
CHEBI:2914	Q27098039
CHEBI:2915	Q165660
CHEBI:2920	Q27105881
CHEBI:2921	Q27105882
CHEBI:2922	Q421230
CHEBI:2923	Q369356
CHEBI:2925	Q27105883
CHEBI:2927	Q27105884
CHEBI:2928	Q27105885
CHEBI:2929	Q27105886
CHEBI:2930	Q4072449
CHEBI:2931	Q27105887
CHEBI:2932	Q27105888
CHEBI:2933	Q27105889
CHEBI:2934	Q27105890
CHEBI:2936	Q27105891
CHEBI:2937	Q27105892
CHEBI:2938	Q27105893
CHEBI:2939	Q27105894
CHEBI:2940	Q4829057
CHEBI:2941	Q598356
CHEBI:2942	Q793471
CHEBI:2943	Q793473
CHEBI:2944	Q27105895
CHEBI:2945	Q2875086
CHEBI:2946	Q599160
CHEBI:2947	Q27105896
CHEBI:2948	Q18939
CHEBI:2950	Q419820
CHEBI:2951	Q27105897
CHEBI:2952	Q27074828
CHEBI:2953	Q418031
CHEBI:2955	Q165399
CHEBI:2956	Q510154
CHEBI:2959	Q410926
CHEBI:2961	Q27105899
CHEBI:2962	Q1788000
CHEBI:2965	Q4836304
CHEBI:2966	Q27105900
CHEBI:2967	Q27105901
CHEBI:2968	Q2878140
CHEBI:2969	Q27105902
CHEBI:2971	Q27105903
CHEBI:2972	Q413717
CHEBI:2978	Q27105904
CHEBI:2979	Q2879363
CHEBI:2980	Q27105905
CHEBI:2981	Q2879368
CHEBI:2982	Q27105907
CHEBI:2983	Q27105908
CHEBI:2984	Q27105910
CHEBI:2985	Q27105911
CHEBI:2986	Q27105912
CHEBI:2987	Q27105913
CHEBI:2988	Q27105914
CHEBI:2989	Q27105915
CHEBI:2990	Q27105916
CHEBI:2991	Q413888
CHEBI:2992	Q27105917
CHEBI:2994	Q27105918
CHEBI:2996	Q27105919
CHEBI:2997	Q27105920
CHEBI:2999	Q27105921
CHEBI:3000	Q3637333
CHEBI:3001	Q31948091
CHEBI:3002	Q421475
CHEBI:3004	Q27105922
CHEBI:3005	Q27105923
CHEBI:3006	Q25099886
CHEBI:3007	Q27105925
CHEBI:3008	Q27067443
CHEBI:3010	Q27105926
CHEBI:3011	Q592802
CHEBI:3012	Q27105927
CHEBI:3013	Q1169164
CHEBI:3014	Q817158
CHEBI:3015	Q420172
CHEBI:3016	Q2929874
CHEBI:3017	Q2896712
CHEBI:3018	Q148937
CHEBI:3020	Q55261298
CHEBI:3023	Q410435
